Accession,GenBank_RefSeq,Organism_Name,Length,Country,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date
OQ733365,GenBank,dengue virus type 2,10708,India,Homo sapiens,blood,"Verma,C.K., Singh,B., Shashi,P., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721955,GenBank,dengue virus type 3,10679,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721956,GenBank,dengue virus type 3,10687,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721957,GenBank,dengue virus type 3,10686,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721958,GenBank,dengue virus type 3,10699,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721959,GenBank,dengue virus type 3,10689,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721960,GenBank,dengue virus type 3,10691,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721961,GenBank,dengue virus type 3,10691,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721962,GenBank,dengue virus type 3,10695,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ721963,GenBank,dengue virus type 3,10703,India,Homo sapiens,blood,"Singh,B., Shashi,P., Verma,C.K., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ547234,GenBank,dengue virus type 2,10704,India,Homo sapiens,blood,"Verma,C.K., Shashi,P., Singh,B., Kumar,P., Tripathi,A., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ339083,GenBank,dengue virus type 1,10711,India,Homo sapiens,blood,"Kumar,P., Shashi,P., Singh,B., Verma,C.K., Tripathi,A., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OQ339084,GenBank,dengue virus type 1,10702,India,Homo sapiens,blood,"Kumar,P., Shashi,P., Singh,B., Verma,C.K., Tripathi,A., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OQ339085,GenBank,dengue virus type 1,10709,India,Homo sapiens,blood,"Kumar,P., Shashi,P., Singh,B., Verma,C.K., Tripathi,A., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OQ339137,GenBank,dengue virus type 2,10706,India,Homo sapiens,blood,"Verma,C.K., Shashi,P., Singh,B., Kumar,P., Tripathi,A., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OQ339138,GenBank,dengue virus type 3,10681,India,Homo sapiens,blood,"Verma,C.K., Shashi,P., Singh,B., Kumar,P., Tripathi,A., Chandele,A., Lodha,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2022
OP984198,GenBank,dengue virus type 4,10228,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Shashi,P., Singh,B., Lodha,R., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
OP921000,GenBank,dengue virus type 2,10595,India,Homo sapiens,blood,"Doddamane,M., Ramachandra,S.","Bangalore University, Biotechnology",India,,2022-07-29
OP921001,GenBank,dengue virus type 2,10674,India,Homo sapiens,blood,"Doddamane,M., Ramachandra,S.","Bangalore University, Biotechnology",India,,2022-07-27
OP921002,GenBank,dengue virus type 3,10645,India,Homo sapiens,blood,"Doddamane,M., Ramachandra,S.","Bangalore University, Biotechnology",India,,2022-07-27
OP895705,GenBank,dengue virus type 3,10695,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
OP895706,GenBank,dengue virus type 4,10625,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
OP809580,GenBank,dengue virus type 1,10599,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809581,GenBank,dengue virus type 2,10619,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809582,GenBank,dengue virus type 2,10593,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809583,GenBank,dengue virus type 2,10699,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
OP809584,GenBank,dengue virus type 4,10560,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809585,GenBank,dengue virus type 4,10557,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809586,GenBank,dengue virus type 4,10564,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809587,GenBank,dengue virus type 4,10569,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809588,GenBank,dengue virus type 4,10560,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809589,GenBank,dengue virus type 4,10559,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809590,GenBank,dengue virus type 4,10567,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809591,GenBank,dengue virus type 4,10557,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP809592,GenBank,dengue virus type 4,10564,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OP310803,GenBank,dengue virus type 1,10731,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
OP310804,GenBank,dengue virus type 1,10721,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
OP310805,GenBank,dengue virus type 2,10708,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
OP310806,GenBank,dengue virus type 2,10713,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
OP310807,GenBank,dengue virus type 2,10556,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
OP310808,GenBank,dengue virus type 2,10598,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
OP310809,GenBank,dengue virus type 4,10635,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
OP310810,GenBank,dengue virus type 4,10624,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
OP310811,GenBank,dengue virus type 4,10562,India,Homo sapiens,blood,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON908220,GenBank,dengue virus type 1,10578,India,Homo sapiens,blood,"Su,W., Jiang,L., Lu,W., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunology",China,,2019-10-18
ON799266,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
ON799267,GenBank,dengue virus type 2,10511,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON799401,GenBank,dengue virus type 3,10706,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Singh,B., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON799402,GenBank,dengue virus type 4,10649,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Singh,B., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON799403,GenBank,dengue virus type 4,10649,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Singh,B., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123646,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123647,GenBank,dengue virus type 1,10588,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
ON123648,GenBank,dengue virus type 1,10586,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
ON123649,GenBank,dengue virus type 2,10598,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123650,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123651,GenBank,dengue virus type 2,10723,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123652,GenBank,dengue virus type 2,10256,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123653,GenBank,dengue virus type 1,10586,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123654,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123655,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2020
ON123656,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
ON123657,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
ON123658,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2019
ON123659,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123660,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123661,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123662,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123663,GenBank,dengue virus type 2,10546,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123664,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123665,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123666,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123667,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123668,GenBank,dengue virus type 4,10649,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123669,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123670,GenBank,dengue virus type 3,10707,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON123671,GenBank,dengue virus type 1,10586,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2018
ON109597,GenBank,dengue virus type 1,10735,India,Homo sapiens,blood,"Medigeshi,G., Pandey,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Maurya,R., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
ON109598,GenBank,dengue virus type 2,10511,India,Homo sapiens,blood,"Medigeshi,G., Pandey,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Maurya,R., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
ON109599,GenBank,dengue virus type 3,10706,India,Homo sapiens,blood,"Medigeshi,G., Pandey,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Maurya,R., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S.","Translational Health Science and Technology Institute, Infection and Immunology",India,,2021
OM744110,GenBank,dengue virus type 2,10708,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM730078,GenBank,dengue virus type 2,10692,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM698821,GenBank,dengue virus type 2,10719,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM700180,GenBank,dengue virus type 2,10685,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM700181,GenBank,dengue virus type 2,10690,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM680963,GenBank,dengue virus type 2,10721,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM681318,GenBank,dengue virus type 2,10722,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM666557,GenBank,dengue virus type 1,10706,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM666558,GenBank,dengue virus type 1,10723,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM638675,GenBank,dengue virus type 3,10703,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-29
OM639979,GenBank,dengue virus type 2,10677,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-10-19
OM639980,GenBank,dengue virus type 2,10706,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639981,GenBank,dengue virus type 2,10707,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-09-02
OM639982,GenBank,dengue virus type 2,10723,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-09-14
OM639983,GenBank,dengue virus type 2,10709,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639984,GenBank,dengue virus type 2,10687,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639985,GenBank,dengue virus type 2,10712,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639986,GenBank,dengue virus type 2,10720,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639987,GenBank,dengue virus type 2,10711,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639988,GenBank,dengue virus type 2,10710,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639989,GenBank,dengue virus type 2,10713,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639990,GenBank,dengue virus type 2,10708,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639991,GenBank,dengue virus type 2,10721,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639992,GenBank,dengue virus type 2,10716,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639993,GenBank,dengue virus type 2,10670,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639994,GenBank,dengue virus type 4,10636,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639995,GenBank,dengue virus type 4,10623,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639996,GenBank,dengue virus type 4,10619,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639997,GenBank,dengue virus type 4,10606,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM639998,GenBank,dengue virus type 4,10644,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
